forecast_date,target_date,lat,lon,predicted_chl,observed_chl,err,abs_err,bloom_pred,bloom_obs,eval_key
,2026-02-13,,,0.758,0.60031134,0.15768866,0.15768866,False,False,|2026-02-13 00:00:00|None|None
,2026-02-14,,,0.758,,,,False,False,|2026-02-14 00:00:00|None|None
,2026-02-15,,,0.758,,,,False,False,|2026-02-15 00:00:00|None|None
,2026-02-16,,,0.758,,,,False,False,|2026-02-16 00:00:00|None|None
,2026-02-17,,,0.758,0.8563798087096777,,,False,False,|2026-02-17 00:00:00|None|None
,2026-02-18,,,0.758,0.8535963267741936,,,False,False,|2026-02-18 00:00:00|None|None
,2026-02-19,,,0.758,,,,False,False,|2026-02-19 00:00:00|None|None
,2026-02-20,,,0.758,,,,False,False,|2026-02-20 00:00:00|None|None
,2026-02-21,,,0.757,,,,False,False,|2026-02-21 00:00:00|None|None
,2026-02-22,,,0.757,,,,False,False,|2026-02-22 00:00:00|None|None
,2026-02-23,,,0.757,,,,False,False,|2026-02-23 00:00:00|None|None
,2026-02-24,,,0.757,,,,False,False,|2026-02-24 00:00:00|None|None
,2026-02-25,,,0.803,,,,False,False,|2026-02-25 00:00:00|None|None
,2026-02-26,,,0.761,,,,False,False,|2026-02-26 00:00:00|None|None
,2026-02-27,,,0.766,,,,False,False,|2026-02-27 00:00:00|None|None
,2026-02-28,,,0.775,,,,False,False,|2026-02-28 00:00:00|None|None
