date,predicted_chl,bloom_risk_flag,threshold_used,risk_pct,risk_score,num_grid_points
2026-02-13,0.222,0,0.223,10.0,99.9,160
2026-02-14,0.222,0,0.223,10.0,99.9,160
2026-02-15,0.222,0,0.223,10.0,99.9,160
2026-02-16,0.222,0,0.223,10.0,99.9,160
2026-02-17,0.222,0,0.223,10.0,99.9,160
2026-02-18,0.222,0,0.223,10.0,99.9,160
2026-02-19,0.222,0,0.223,10.0,99.9,160
2026-02-20,0.222,0,0.223,10.0,99.9,160
2026-02-17,0.227,0,0.231,10.0,98.4,160
2026-02-18,0.227,0,0.231,10.0,98.4,160
2026-02-19,0.227,0,0.231,10.0,98.4,160
2026-02-20,0.227,0,0.231,10.0,98.4,160
2026-02-21,0.227,0,0.231,10.0,98.4,160
2026-02-22,0.227,0,0.231,10.0,98.4,160
2026-02-23,0.227,0,0.231,10.0,98.4,160
2026-02-24,0.227,0,0.231,10.0,98.4,160
2026-02-18,0.23,1,0.229,10.0,100,160
2026-02-19,0.23,1,0.229,10.0,100,160
2026-02-20,0.23,1,0.229,10.0,100,160
2026-02-21,0.23,1,0.229,10.0,100,160
2026-02-22,0.23,1,0.229,10.0,100,160
2026-02-23,0.23,1,0.229,10.0,100,160
2026-02-24,0.23,1,0.229,10.0,100,160
2026-02-25,0.23,1,0.229,10.0,100,160
